material_id,plant_id,available_on_hand_units,safety_stock_threshold_units
MAT_001,PLANT_01,415,529
MAT_001,PLANT_02,795,931
MAT_001,PLANT_03,628,672
MAT_001,PLANT_04,881,981
MAT_001,PLANT_05,614,632
MAT_002,PLANT_01,243,330
MAT_002,PLANT_02,378,415
MAT_002,PLANT_03,932,772
MAT_002,PLANT_04,683,589
MAT_002,PLANT_05,959,918
MAT_003,PLANT_01,624,820
MAT_003,PLANT_02,366,409
MAT_003,PLANT_03,716,965
MAT_003,PLANT_04,620,609
MAT_003,PLANT_05,748,710
MAT_004,PLANT_01,583,544
MAT_004,PLANT_02,684,861
MAT_004,PLANT_03,737,793
MAT_004,PLANT_04,534,648
MAT_004,PLANT_05,867,905
MAT_005,PLANT_01,775,745
MAT_005,PLANT_02,667,650
MAT_005,PLANT_03,434,541
MAT_005,PLANT_04,735,985
MAT_005,PLANT_05,1066,887
MAT_006,PLANT_01,440,417
MAT_006,PLANT_02,692,774
MAT_006,PLANT_03,476,399
MAT_006,PLANT_04,424,480
MAT_006,PLANT_05,530,715
MAT_007,PLANT_01,456,411
MAT_007,PLANT_02,1058,910
MAT_007,PLANT_03,616,688
MAT_007,PLANT_04,1052,960
MAT_007,PLANT_05,325,392
MAT_008,PLANT_01,544,442
MAT_008,PLANT_02,1127,951
MAT_008,PLANT_03,493,450
MAT_008,PLANT_04,777,763
MAT_008,PLANT_05,747,699
MAT_009,PLANT_01,618,757
MAT_009,PLANT_02,1222,997
MAT_009,PLANT_03,631,606
MAT_009,PLANT_04,878,995
MAT_009,PLANT_05,842,745
MAT_010,PLANT_01,843,652
MAT_010,PLANT_02,631,896
MAT_010,PLANT_03,774,822
MAT_010,PLANT_04,520,430
MAT_010,PLANT_05,334,363
MAT_011,PLANT_01,1103,862
MAT_011,PLANT_02,336,300
MAT_011,PLANT_03,510,667
MAT_011,PLANT_04,717,588
MAT_011,PLANT_05,517,540
MAT_012,PLANT_01,846,904
MAT_012,PLANT_02,704,625
MAT_012,PLANT_03,664,715
MAT_012,PLANT_04,709,858
MAT_012,PLANT_05,469,477
MAT_013,PLANT_01,508,492
MAT_013,PLANT_02,804,668
MAT_013,PLANT_03,398,457
MAT_013,PLANT_04,764,986
MAT_013,PLANT_05,231,311
MAT_014,PLANT_01,248,316
MAT_014,PLANT_02,873,798
MAT_014,PLANT_03,329,439
MAT_014,PLANT_04,1132,957
MAT_014,PLANT_05,946,766
MAT_015,PLANT_01,1155,918
MAT_015,PLANT_02,757,938
MAT_015,PLANT_03,783,821
MAT_015,PLANT_04,707,760
MAT_015,PLANT_05,430,531
MAT_016,PLANT_01,647,919
MAT_016,PLANT_02,978,810
MAT_016,PLANT_03,610,542
MAT_016,PLANT_04,544,575
MAT_016,PLANT_05,898,859
MAT_017,PLANT_01,429,334
MAT_017,PLANT_02,872,881
MAT_017,PLANT_03,519,677
MAT_017,PLANT_04,1012,793
MAT_017,PLANT_05,299,381
MAT_018,PLANT_01,1082,839
MAT_018,PLANT_02,573,586
MAT_018,PLANT_03,385,380
MAT_018,PLANT_04,695,924
MAT_018,PLANT_05,844,783
MAT_019,PLANT_01,1249,979
MAT_019,PLANT_02,420,379
MAT_019,PLANT_03,1004,852
MAT_019,PLANT_04,660,619
MAT_019,PLANT_05,664,651
MAT_020,PLANT_01,305,311
MAT_020,PLANT_02,1024,824
MAT_020,PLANT_03,1011,887
MAT_020,PLANT_04,666,731
MAT_020,PLANT_05,524,601
MAT_021,PLANT_01,375,336
MAT_021,PLANT_02,1047,911
MAT_021,PLANT_03,750,877
MAT_021,PLANT_04,928,944
MAT_021,PLANT_05,493,473
MAT_022,PLANT_01,1257,972
MAT_022,PLANT_02,672,939
MAT_022,PLANT_03,596,796
MAT_022,PLANT_04,609,817
MAT_022,PLANT_05,497,584
MAT_023,PLANT_01,807,930
MAT_023,PLANT_02,398,563
MAT_023,PLANT_03,439,414
MAT_023,PLANT_04,1034,905
MAT_023,PLANT_05,942,974
MAT_024,PLANT_01,410,479
MAT_024,PLANT_02,536,541
MAT_024,PLANT_03,1022,840
MAT_024,PLANT_04,840,651
MAT_024,PLANT_05,473,448
MAT_025,PLANT_01,549,457
MAT_025,PLANT_02,839,722
MAT_025,PLANT_03,595,543
MAT_025,PLANT_04,761,952
MAT_025,PLANT_05,1016,891
MAT_026,PLANT_01,478,653
MAT_026,PLANT_02,657,570
MAT_026,PLANT_03,305,418
MAT_026,PLANT_04,727,775
MAT_026,PLANT_05,599,608
MAT_027,PLANT_01,709,845
MAT_027,PLANT_02,1122,999
MAT_027,PLANT_03,673,785
MAT_027,PLANT_04,1030,843
MAT_027,PLANT_05,272,312
MAT_028,PLANT_01,705,759
MAT_028,PLANT_02,795,623
MAT_028,PLANT_03,1272,999
MAT_028,PLANT_04,499,399
MAT_028,PLANT_05,868,952
MAT_029,PLANT_01,791,742
MAT_029,PLANT_02,1174,967
MAT_029,PLANT_03,554,643
MAT_029,PLANT_04,341,400
MAT_029,PLANT_05,839,898
MAT_030,PLANT_01,1139,991
MAT_030,PLANT_02,1040,988
MAT_030,PLANT_03,504,499
MAT_030,PLANT_04,1106,993
MAT_030,PLANT_05,429,484
MAT_031,PLANT_01,342,310
MAT_031,PLANT_02,260,369
MAT_031,PLANT_03,406,400
MAT_031,PLANT_04,688,756
MAT_031,PLANT_05,502,590
MAT_032,PLANT_01,238,334
MAT_032,PLANT_02,289,394
MAT_032,PLANT_03,993,908
MAT_032,PLANT_04,663,522
MAT_032,PLANT_05,736,953
MAT_033,PLANT_01,317,422
MAT_033,PLANT_02,714,919
MAT_033,PLANT_03,1125,972
MAT_033,PLANT_04,1001,963
MAT_033,PLANT_05,605,489
MAT_034,PLANT_01,415,488
MAT_034,PLANT_02,852,778
MAT_034,PLANT_03,408,377
MAT_034,PLANT_04,677,583
MAT_034,PLANT_05,1142,983
MAT_035,PLANT_01,539,631
MAT_035,PLANT_02,324,375
MAT_035,PLANT_03,337,363
MAT_035,PLANT_04,830,640
MAT_035,PLANT_05,718,564
MAT_036,PLANT_01,460,571
MAT_036,PLANT_02,369,371
MAT_036,PLANT_03,538,505
MAT_036,PLANT_04,524,482
MAT_036,PLANT_05,323,411
MAT_037,PLANT_01,615,741
MAT_037,PLANT_02,731,958
MAT_037,PLANT_03,849,752
MAT_037,PLANT_04,291,405
MAT_037,PLANT_05,387,372
MAT_038,PLANT_01,648,556
MAT_038,PLANT_02,394,319
MAT_038,PLANT_03,493,452
MAT_038,PLANT_04,377,300
MAT_038,PLANT_05,915,980
MAT_039,PLANT_01,509,455
MAT_039,PLANT_02,731,700
MAT_039,PLANT_03,930,827
MAT_039,PLANT_04,791,802
MAT_039,PLANT_05,860,713
MAT_040,PLANT_01,379,371
MAT_040,PLANT_02,281,303
MAT_040,PLANT_03,612,793
MAT_040,PLANT_04,1069,848
MAT_040,PLANT_05,600,667
