material_id,plant_id,period_week,forecasted_demand_units
MAT_001,PLANT_01,W01,762
MAT_001,PLANT_01,W02,733
MAT_001,PLANT_01,W03,816
MAT_001,PLANT_01,W04,792
MAT_001,PLANT_01,W05,784
MAT_001,PLANT_01,W06,823
MAT_001,PLANT_01,W07,856
MAT_001,PLANT_01,W08,846
MAT_001,PLANT_01,W09,781
MAT_001,PLANT_01,W10,867
MAT_001,PLANT_01,W11,880
MAT_001,PLANT_01,W12,903
MAT_001,PLANT_02,W01,688
MAT_001,PLANT_02,W02,775
MAT_001,PLANT_02,W03,691
MAT_001,PLANT_02,W04,756
MAT_001,PLANT_02,W05,701
MAT_001,PLANT_02,W06,780
MAT_001,PLANT_02,W07,787
MAT_001,PLANT_02,W08,741
MAT_001,PLANT_02,W09,730
MAT_001,PLANT_02,W10,753
MAT_001,PLANT_02,W11,748
MAT_001,PLANT_02,W12,812
MAT_001,PLANT_03,W01,1314
MAT_001,PLANT_03,W02,1385
MAT_001,PLANT_03,W03,1387
MAT_001,PLANT_03,W04,1287
MAT_001,PLANT_03,W05,1294
MAT_001,PLANT_03,W06,1447
MAT_001,PLANT_03,W07,1355
MAT_001,PLANT_03,W08,1501
MAT_001,PLANT_03,W09,1492
MAT_001,PLANT_03,W10,1352
MAT_001,PLANT_03,W11,1531
MAT_001,PLANT_03,W12,1435
MAT_001,PLANT_04,W01,702
MAT_001,PLANT_04,W02,794
MAT_001,PLANT_04,W03,762
MAT_001,PLANT_04,W04,755
MAT_001,PLANT_04,W05,766
MAT_001,PLANT_04,W06,721
MAT_001,PLANT_04,W07,824
MAT_001,PLANT_04,W08,752
MAT_001,PLANT_04,W09,760
MAT_001,PLANT_04,W10,840
MAT_001,PLANT_04,W11,863
MAT_001,PLANT_04,W12,846
MAT_001,PLANT_05,W01,799
MAT_001,PLANT_05,W02,847
MAT_001,PLANT_05,W03,795
MAT_001,PLANT_05,W04,914
MAT_001,PLANT_05,W05,841
MAT_001,PLANT_05,W06,882
MAT_001,PLANT_05,W07,880
MAT_001,PLANT_05,W08,859
MAT_001,PLANT_05,W09,973
MAT_001,PLANT_05,W10,974
MAT_001,PLANT_05,W11,943
MAT_001,PLANT_05,W12,1001
MAT_002,PLANT_01,W01,2168
MAT_002,PLANT_01,W02,2048
MAT_002,PLANT_01,W03,2081
MAT_002,PLANT_01,W04,2332
MAT_002,PLANT_01,W05,2156
MAT_002,PLANT_01,W06,2353
MAT_002,PLANT_01,W07,2292
MAT_002,PLANT_01,W08,2164
MAT_002,PLANT_01,W09,2377
