supplier_id,plant_id,transit_time_days,freight_cost_per_unit_usd,lane_reliability_pct
SUP_001,PLANT_01,14,3.4,94.0
SUP_001,PLANT_02,2,0.45,99.0
SUP_001,PLANT_03,18,4.8,91.0
SUP_001,PLANT_04,24,7.6,89.0
SUP_001,PLANT_05,20,5.1,90.0
SUP_002,PLANT_01,2,0.5,98.5
SUP_002,PLANT_02,15,3.5,93.5
SUP_002,PLANT_03,5,1.6,96.0
SUP_002,PLANT_04,22,6.2,91.0
SUP_002,PLANT_05,24,6.4,89.5
SUP_003,PLANT_01,21,5.1,92.5
SUP_003,PLANT_02,24,6.5,90.0
SUP_003,PLANT_03,22,5.3,91.0
SUP_003,PLANT_04,1,0.45,99.5
SUP_003,PLANT_05,16,3.6,93.0
SUP_004,PLANT_01,22,5.15,92.0
SUP_004,PLANT_02,24,6.55,89.5
SUP_004,PLANT_03,23,5.35,90.5
SUP_004,PLANT_04,3,0.85,98.0
SUP_004,PLANT_05,15,3.55,93.5
SUP_005,PLANT_01,6,1.7,95.0
SUP_005,PLANT_02,19,4.9,90.0
SUP_005,PLANT_03,1,0.45,98.0
SUP_005,PLANT_04,24,6.45,89.0
SUP_005,PLANT_05,24,7.65,88.0
SUP_006,PLANT_01,24,6.5,87.0
SUP_006,PLANT_02,24,7.7,86.0
SUP_006,PLANT_03,24,6.6,86.5
SUP_006,PLANT_04,8,1.85,92.0
SUP_006,PLANT_05,9,2.1,93.0
SUP_007,PLANT_01,24,6.55,88.0
SUP_007,PLANT_02,21,5.05,91.0
SUP_007,PLANT_03,24,6.75,87.0
SUP_007,PLANT_04,16,3.65,92.5
SUP_007,PLANT_05,1,0.45,98.5
SUP_008,PLANT_01,22,5.2,91.5
SUP_008,PLANT_02,24,6.5,89.5
SUP_008,PLANT_03,23,5.4,90.0
SUP_008,PLANT_04,4,0.9,98.0
SUP_008,PLANT_05,14,3.45,93.0
SUP_009,PLANT_01,14,3.4,94.0
SUP_009,PLANT_02,2,0.45,99.0
SUP_009,PLANT_03,18,4.8,91.0
SUP_009,PLANT_04,24,7.6,89.0
SUP_009,PLANT_05,20,5.1,90.0
SUP_010,PLANT_01,2,0.5,98.5
SUP_010,PLANT_02,15,3.5,93.5
SUP_010,PLANT_03,5,1.6,96.0
SUP_010,PLANT_04,22,6.2,91.0
SUP_010,PLANT_05,24,6.4,89.5
SUP_011,PLANT_01,21,5.1,92.5
SUP_011,PLANT_02,24,6.5,90.0
SUP_011,PLANT_03,22,5.3,91.0
SUP_011,PLANT_04,1,0.45,99.5
SUP_011,PLANT_05,16,3.6,93.0
SUP_012,PLANT_01,6,1.7,95.0
SUP_012,PLANT_02,19,4.9,90.0
SUP_012,PLANT_03,1,0.45,98.0
SUP_012,PLANT_04,24,6.45,89.0
SUP_012,PLANT_05,24,7.65,88.0
