sku_id,material_id,usage_qty_per_unit,scrap_allowance_pct
SKU_001,MAT_004,6.34,0.023
SKU_001,MAT_005,2.86,0.037
SKU_001,MAT_006,1.78,0.034
SKU_001,MAT_007,1.94,0.037
SKU_002,MAT_007,5.84,0.042
SKU_002,MAT_008,3.9,0.033
SKU_002,MAT_009,3.15,0.076
SKU_002,MAT_010,5.93,0.057
SKU_003,MAT_010,2.45,0.064
SKU_003,MAT_011,2.39,0.043
SKU_003,MAT_012,8.42,0.058
SKU_003,MAT_013,5.27,0.061
SKU_004,MAT_013,7.35,0.067
SKU_004,MAT_014,2.87,0.022
SKU_004,MAT_015,3.5,0.036
SKU_004,MAT_016,2.74,0.077
SKU_005,MAT_016,7.6,0.039
SKU_005,MAT_017,5.98,0.044
SKU_005,MAT_018,7.88,0.048
SKU_005,MAT_019,3.13,0.035
SKU_006,MAT_019,5.3,0.036
SKU_006,MAT_020,5.47,0.074
SKU_006,MAT_021,4.12,0.033
SKU_006,MAT_022,8.48,0.051
SKU_007,MAT_022,1.86,0.023
SKU_007,MAT_023,2.0,0.058
SKU_007,MAT_024,6.98,0.045
SKU_007,MAT_025,1.66,0.043
SKU_008,MAT_025,8.47,0.052
SKU_008,MAT_026,8.29,0.072
SKU_008,MAT_027,1.28,0.063
SKU_008,MAT_028,6.18,0.052
SKU_009,MAT_028,3.15,0.058
SKU_009,MAT_029,2.01,0.046
SKU_009,MAT_030,4.51,0.077
SKU_009,MAT_031,7.59,0.036
SKU_010,MAT_031,4.85,0.031
SKU_010,MAT_032,7.86,0.072
SKU_010,MAT_033,3.38,0.058
SKU_010,MAT_034,5.65,0.029
SKU_011,MAT_034,6.77,0.052
SKU_011,MAT_035,6.88,0.052
SKU_011,MAT_036,1.2,0.039
SKU_011,MAT_037,1.34,0.076
SKU_012,MAT_037,7.61,0.07
SKU_012,MAT_038,3.44,0.023
SKU_012,MAT_039,7.61,0.077
SKU_012,MAT_040,1.83,0.049
SKU_013,MAT_040,1.71,0.066
SKU_013,MAT_001,6.79,0.028
SKU_013,MAT_002,4.67,0.053
SKU_013,MAT_003,3.13,0.072
SKU_014,MAT_003,4.29,0.033
SKU_014,MAT_004,5.14,0.064
SKU_014,MAT_005,2.67,0.039
SKU_014,MAT_006,8.46,0.059
SKU_015,MAT_006,4.4,0.051
SKU_015,MAT_007,2.08,0.033
SKU_015,MAT_008,3.67,0.055
SKU_015,MAT_009,2.88,0.033
SKU_016,MAT_009,1.72,0.058
SKU_016,MAT_010,2.87,0.074
SKU_016,MAT_011,7.48,0.024
SKU_016,MAT_012,2.94,0.06
SKU_017,MAT_012,2.76,0.028
SKU_017,MAT_013,8.03,0.054
SKU_017,MAT_014,4.65,0.067
SKU_017,MAT_015,7.09,0.031
SKU_018,MAT_015,1.91,0.046
SKU_018,MAT_016,4.29,0.048
SKU_018,MAT_017,6.52,0.06
SKU_018,MAT_018,8.38,0.026
SKU_019,MAT_018,4.14,0.04
SKU_019,MAT_019,7.49,0.035
SKU_019,MAT_020,2.59,0.047
SKU_019,MAT_021,4.28,0.037
SKU_020,MAT_021,3.02,0.075
SKU_020,MAT_022,4.43,0.072
SKU_020,MAT_023,5.22,0.023
SKU_020,MAT_024,8.49,0.07
SKU_021,MAT_024,8.27,0.076
SKU_021,MAT_025,7.4,0.03
SKU_021,MAT_026,4.75,0.033
SKU_021,MAT_027,4.13,0.024
SKU_022,MAT_027,3.97,0.079
SKU_022,MAT_028,3.14,0.067
SKU_022,MAT_029,4.52,0.045
SKU_022,MAT_030,8.19,0.08
SKU_023,MAT_030,5.26,0.063
SKU_023,MAT_031,2.33,0.038
SKU_023,MAT_032,8.27,0.055
SKU_023,MAT_033,5.16,0.065
SKU_024,MAT_033,1.62,0.055
SKU_024,MAT_034,4.87,0.071
SKU_024,MAT_035,2.35,0.078
SKU_024,MAT_036,1.78,0.031
SKU_025,MAT_036,5.54,0.061
SKU_025,MAT_037,2.92,0.027
SKU_025,MAT_038,7.7,0.035
SKU_025,MAT_039,5.54,0.057
SKU_026,MAT_039,4.26,0.055
SKU_026,MAT_040,5.02,0.076
SKU_026,MAT_001,2.69,0.063
SKU_026,MAT_002,2.94,0.044
SKU_027,MAT_002,6.1,0.038
SKU_027,MAT_003,3.51,0.065
SKU_027,MAT_004,1.73,0.047
SKU_027,MAT_005,8.49,0.08
SKU_028,MAT_005,1.73,0.033
SKU_028,MAT_006,3.14,0.076
SKU_028,MAT_007,7.63,0.073
SKU_028,MAT_008,3.9,0.029
SKU_029,MAT_008,7.29,0.062
SKU_029,MAT_009,5.67,0.079
SKU_029,MAT_010,5.97,0.02
SKU_029,MAT_011,7.16,0.038
SKU_030,MAT_011,6.04,0.076
SKU_030,MAT_012,2.18,0.027
SKU_030,MAT_013,1.98,0.053
SKU_030,MAT_014,3.19,0.056
