po_id,material_id,material_name,supplier_id,supplier_name,plant_id,plant_name,period_week,allocated_units,utilization_pct,lead_time_variance_days,geo_financial_risk,delay_probability_pct,risk_tier,status_label,recommended_action,split_sourcing_recommended
PO-SUP_001-MAT_001-W01,MAT_001,High-Tensile Structural Steel I-Beam,SUP_001,Apex Precision Metals GmbH,PLANT_01,Detroit Advanced Assembly Hub,W01,289,3.3,0.8,3.2,13.8,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_001-W01,MAT_001,High-Tensile Structural Steel I-Beam,SUP_001,Apex Precision Metals GmbH,PLANT_02,Munich Engineering Works,W01,486,5.6,0.8,3.2,8.5,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_001-W01,MAT_001,High-Tensile Structural Steel I-Beam,SUP_001,Apex Precision Metals GmbH,PLANT_03,Monterrey Global Production Hub,W01,448,5.1,0.8,3.2,19.1,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_001-W01,MAT_001,High-Tensile Structural Steel I-Beam,SUP_001,Apex Precision Metals GmbH,PLANT_04,Tokyo Precision Facility,W01,265,3.0,0.8,3.2,22.3,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_001-W01,MAT_001,High-Tensile Structural Steel I-Beam,SUP_001,Apex Precision Metals GmbH,PLANT_05,Chennai Industrial Complex,W01,482,5.5,0.8,3.2,21.5,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_001-W01,MAT_001,High-Tensile Structural Steel I-Beam,SUP_002,Vanguard Industrial Dynamics,PLANT_01,Detroit Advanced Assembly Hub,W01,587,7.1,1.4,1.4,5.4,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_001-W01,MAT_001,High-Tensile Structural Steel I-Beam,SUP_002,Vanguard Industrial Dynamics,PLANT_02,Munich Engineering Works,W01,338,4.1,1.4,1.4,7.5,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_001-W01,MAT_001,High-Tensile Structural Steel I-Beam,SUP_002,Vanguard Industrial Dynamics,PLANT_03,Monterrey Global Production Hub,W01,910,11.0,1.4,1.4,6.9,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_001-W01,MAT_001,High-Tensile Structural Steel I-Beam,SUP_002,Vanguard Industrial Dynamics,PLANT_04,Tokyo Precision Facility,W01,537,6.5,1.4,1.4,14.2,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_001-W01,MAT_001,High-Tensile Structural Steel I-Beam,SUP_002,Vanguard Industrial Dynamics,PLANT_05,Chennai Industrial Complex,W01,335,4.1,1.4,1.4,12.0,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_002-W01,MAT_002,Cold-Rolled Carbon Steel Sheet 2mm,SUP_001,Apex Precision Metals GmbH,PLANT_01,Detroit Advanced Assembly Hub,W01,902,8.5,0.8,3.2,20.7,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_002-W01,MAT_002,Cold-Rolled Carbon Steel Sheet 2mm,SUP_001,Apex Precision Metals GmbH,PLANT_02,Munich Engineering Works,W01,476,4.5,0.8,3.2,8.5,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_002-W01,MAT_002,Cold-Rolled Carbon Steel Sheet 2mm,SUP_001,Apex Precision Metals GmbH,PLANT_03,Monterrey Global Production Hub,W01,543,5.1,0.8,3.2,20.3,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_002-W01,MAT_002,Cold-Rolled Carbon Steel Sheet 2mm,SUP_001,Apex Precision Metals GmbH,PLANT_04,Tokyo Precision Facility,W01,819,7.7,0.8,3.2,30.8,AMBER,Moderate Delay Risk (25-50%),Expedited Transit Buffer Required,0
PO-SUP_001-MAT_002-W01,MAT_002,Cold-Rolled Carbon Steel Sheet 2mm,SUP_001,Apex Precision Metals GmbH,PLANT_05,Chennai Industrial Complex,W01,1185,11.2,0.8,3.2,32.4,AMBER,Moderate Delay Risk (25-50%),Expedited Transit Buffer Required,0
PO-SUP_002-MAT_002-W01,MAT_002,Cold-Rolled Carbon Steel Sheet 2mm,SUP_002,Vanguard Industrial Dynamics,PLANT_01,Detroit Advanced Assembly Hub,W01,1353,12.2,1.4,1.4,3.7,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_002-W01,MAT_002,Cold-Rolled Carbon Steel Sheet 2mm,SUP_002,Vanguard Industrial Dynamics,PLANT_02,Munich Engineering Works,W01,305,2.8,1.4,1.4,5.1,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_002-W01,MAT_002,Cold-Rolled Carbon Steel Sheet 2mm,SUP_002,Vanguard Industrial Dynamics,PLANT_03,Monterrey Global Production Hub,W01,814,7.4,1.4,1.4,3.6,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_002-W01,MAT_002,Cold-Rolled Carbon Steel Sheet 2mm,SUP_002,Vanguard Industrial Dynamics,PLANT_04,Tokyo Precision Facility,W01,1228,11.1,1.4,1.4,10.3,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_002-W01,MAT_002,Cold-Rolled Carbon Steel Sheet 2mm,SUP_002,Vanguard Industrial Dynamics,PLANT_05,Chennai Industrial Complex,W01,758,6.9,1.4,1.4,9.8,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_003-W01,MAT_003,Austenitic Stainless Steel 316L Plate,SUP_001,Apex Precision Metals GmbH,PLANT_01,Detroit Advanced Assembly Hub,W01,811,10.8,0.8,3.2,19.6,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_003-W01,MAT_003,Austenitic Stainless Steel 316L Plate,SUP_001,Apex Precision Metals GmbH,PLANT_02,Munich Engineering Works,W01,669,8.9,0.8,3.2,9.7,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_003-W01,MAT_003,Austenitic Stainless Steel 316L Plate,SUP_001,Apex Precision Metals GmbH,PLANT_03,Monterrey Global Production Hub,W01,396,5.3,0.8,3.2,18.5,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_003-W01,MAT_003,Austenitic Stainless Steel 316L Plate,SUP_001,Apex Precision Metals GmbH,PLANT_04,Tokyo Precision Facility,W01,471,6.3,0.8,3.2,25.2,AMBER,Moderate Delay Risk (25-50%),Expedited Transit Buffer Required,0
PO-SUP_001-MAT_003-W01,MAT_003,Austenitic Stainless Steel 316L Plate,SUP_001,Apex Precision Metals GmbH,PLANT_05,Chennai Industrial Complex,W01,639,8.5,0.8,3.2,23.7,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_003-W01,MAT_003,Austenitic Stainless Steel 316L Plate,SUP_002,Vanguard Industrial Dynamics,PLANT_01,Detroit Advanced Assembly Hub,W01,1216,14.3,1.4,1.4,5.7,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_003-W01,MAT_003,Austenitic Stainless Steel 316L Plate,SUP_002,Vanguard Industrial Dynamics,PLANT_02,Munich Engineering Works,W01,329,3.9,1.4,1.4,7.4,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_003-W01,MAT_003,Austenitic Stainless Steel 316L Plate,SUP_002,Vanguard Industrial Dynamics,PLANT_03,Monterrey Global Production Hub,W01,594,7.0,1.4,1.4,6.6,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_003-W01,MAT_003,Austenitic Stainless Steel 316L Plate,SUP_002,Vanguard Industrial Dynamics,PLANT_04,Tokyo Precision Facility,W01,707,8.3,1.4,1.4,16.0,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_003-W01,MAT_003,Austenitic Stainless Steel 316L Plate,SUP_002,Vanguard Industrial Dynamics,PLANT_05,Chennai Industrial Complex,W01,315,3.7,1.4,1.4,11.7,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_004-W01,MAT_004,Galvanized Structural Angle Steel,SUP_001,Apex Precision Metals GmbH,PLANT_01,Detroit Advanced Assembly Hub,W01,314,4.6,0.8,3.2,13.1,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_004-W01,MAT_004,Galvanized Structural Angle Steel,SUP_001,Apex Precision Metals GmbH,PLANT_02,Munich Engineering Works,W01,936,13.9,0.8,3.2,9.4,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_004-W01,MAT_004,Galvanized Structural Angle Steel,SUP_001,Apex Precision Metals GmbH,PLANT_03,Monterrey Global Production Hub,W01,379,5.6,0.8,3.2,16.8,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_004-W01,MAT_004,Galvanized Structural Angle Steel,SUP_001,Apex Precision Metals GmbH,PLANT_04,Tokyo Precision Facility,W01,768,11.4,0.8,3.2,25.9,AMBER,Moderate Delay Risk (25-50%),Expedited Transit Buffer Required,0
PO-SUP_001-MAT_004-W01,MAT_004,Galvanized Structural Angle Steel,SUP_001,Apex Precision Metals GmbH,PLANT_05,Chennai Industrial Complex,W01,588,8.7,0.8,3.2,20.3,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_004-W01,MAT_004,Galvanized Structural Angle Steel,SUP_002,Vanguard Industrial Dynamics,PLANT_01,Detroit Advanced Assembly Hub,W01,453,3.6,1.4,1.4,2.8,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_004-W01,MAT_004,Galvanized Structural Angle Steel,SUP_002,Vanguard Industrial Dynamics,PLANT_02,Munich Engineering Works,W01,504,4.1,1.4,1.4,5.8,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_004-W01,MAT_004,Galvanized Structural Angle Steel,SUP_002,Vanguard Industrial Dynamics,PLANT_03,Monterrey Global Production Hub,W01,546,4.4,1.4,1.4,3.5,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_004-W01,MAT_004,Galvanized Structural Angle Steel,SUP_002,Vanguard Industrial Dynamics,PLANT_04,Tokyo Precision Facility,W01,1104,8.9,1.4,1.4,11.2,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_004-W01,MAT_004,Galvanized Structural Angle Steel,SUP_002,Vanguard Industrial Dynamics,PLANT_05,Chennai Industrial Complex,W01,316,2.5,1.4,1.4,8.7,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_005-W01,MAT_005,Hardox 450 Wear-Resistant Steel,SUP_001,Apex Precision Metals GmbH,PLANT_01,Detroit Advanced Assembly Hub,W01,784,7.8,0.8,3.2,14.2,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_005-W01,MAT_005,Hardox 450 Wear-Resistant Steel,SUP_001,Apex Precision Metals GmbH,PLANT_02,Munich Engineering Works,W01,1594,15.8,0.8,3.2,9.7,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_005-W01,MAT_005,Hardox 450 Wear-Resistant Steel,SUP_001,Apex Precision Metals GmbH,PLANT_03,Monterrey Global Production Hub,W01,744,7.4,0.8,3.2,17.4,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_001-MAT_005-W01,MAT_005,Hardox 450 Wear-Resistant Steel,SUP_001,Apex Precision Metals GmbH,PLANT_04,Tokyo Precision Facility,W01,1456,14.4,0.8,3.2,27.3,AMBER,Moderate Delay Risk (25-50%),Expedited Transit Buffer Required,0
PO-SUP_001-MAT_005-W01,MAT_005,Hardox 450 Wear-Resistant Steel,SUP_001,Apex Precision Metals GmbH,PLANT_05,Chennai Industrial Complex,W01,1181,11.7,0.8,3.2,21.6,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
PO-SUP_002-MAT_005-W01,MAT_005,Hardox 450 Wear-Resistant Steel,SUP_002,Vanguard Industrial Dynamics,PLANT_01,Detroit Advanced Assembly Hub,W01,1395,25.3,1.4,1.4,3.4,GREEN,Low Delay Risk (< 25%),Direct PO Release Approved,0
