supplier_id,material_id,min_guaranteed_share_pct,max_allocation_cap_pct
SUP_001,MAT_001,0.15,0.59
SUP_002,MAT_001,0.16,0.67
SUP_005,MAT_001,0.16,0.59
SUP_007,MAT_001,0.16,0.57
SUP_001,MAT_002,0.1,0.61
SUP_002,MAT_002,0.1,0.6
SUP_005,MAT_002,0.12,0.59
SUP_007,MAT_002,0.2,0.66
SUP_001,MAT_003,0.2,0.67
SUP_002,MAT_003,0.17,0.6
SUP_005,MAT_003,0.12,0.66
SUP_007,MAT_003,0.12,0.67
SUP_001,MAT_004,0.12,0.65
SUP_002,MAT_004,0.2,0.59
SUP_005,MAT_004,0.13,0.55
SUP_007,MAT_004,0.16,0.7
SUP_001,MAT_005,0.13,0.67
SUP_002,MAT_005,0.14,0.64
SUP_005,MAT_005,0.15,0.67
SUP_007,MAT_005,0.14,0.69
SUP_001,MAT_006,0.17,0.57
SUP_003,MAT_006,0.17,0.6
SUP_005,MAT_006,0.12,0.65
SUP_012,MAT_006,0.16,0.61
SUP_001,MAT_007,0.12,0.67
SUP_003,MAT_007,0.14,0.65
SUP_005,MAT_007,0.13,0.65
SUP_012,MAT_007,0.17,0.58
SUP_001,MAT_008,0.12,0.62
SUP_003,MAT_008,0.14,0.64
SUP_005,MAT_008,0.14,0.57
SUP_012,MAT_008,0.12,0.67
SUP_001,MAT_009,0.16,0.69
SUP_003,MAT_009,0.17,0.7
SUP_005,MAT_009,0.18,0.68
SUP_012,MAT_009,0.19,0.66
SUP_001,MAT_010,0.18,0.59
SUP_003,MAT_010,0.13,0.56
SUP_005,MAT_010,0.13,0.63
SUP_012,MAT_010,0.17,0.66
SUP_002,MAT_011,0.15,0.61
SUP_004,MAT_011,0.19,0.64
SUP_005,MAT_011,0.15,0.69
SUP_006,MAT_011,0.15,0.66
SUP_002,MAT_012,0.12,0.62
SUP_004,MAT_012,0.17,0.68
SUP_005,MAT_012,0.1,0.61
SUP_006,MAT_012,0.16,0.57
SUP_002,MAT_013,0.14,0.58
SUP_004,MAT_013,0.18,0.67
SUP_005,MAT_013,0.1,0.63
SUP_006,MAT_013,0.17,0.67
SUP_002,MAT_014,0.12,0.55
SUP_004,MAT_014,0.17,0.63
SUP_005,MAT_014,0.12,0.64
SUP_006,MAT_014,0.2,0.57
SUP_002,MAT_015,0.17,0.69
SUP_004,MAT_015,0.16,0.67
SUP_005,MAT_015,0.18,0.67
SUP_006,MAT_015,0.15,0.65
SUP_003,MAT_016,0.18,0.67
SUP_004,MAT_016,0.17,0.62
SUP_008,MAT_016,0.18,0.63
SUP_003,MAT_017,0.13,0.68
SUP_004,MAT_017,0.19,0.59
SUP_008,MAT_017,0.13,0.62
SUP_003,MAT_018,0.14,0.59
SUP_004,MAT_018,0.16,0.63
SUP_008,MAT_018,0.15,0.66
SUP_003,MAT_019,0.18,0.56
SUP_004,MAT_019,0.17,0.61
SUP_008,MAT_019,0.2,0.63
SUP_003,MAT_020,0.13,0.58
SUP_004,MAT_020,0.17,0.69
SUP_008,MAT_020,0.17,0.59
SUP_003,MAT_021,0.13,0.57
SUP_011,MAT_021,0.12,0.55
SUP_004,MAT_021,0.2,0.63
SUP_003,MAT_022,0.11,0.55
SUP_011,MAT_022,0.13,0.69
SUP_004,MAT_022,0.18,0.61
SUP_003,MAT_023,0.11,0.63
SUP_011,MAT_023,0.16,0.61
SUP_004,MAT_023,0.18,0.61
SUP_003,MAT_024,0.2,0.6
SUP_011,MAT_024,0.19,0.58
SUP_004,MAT_024,0.12,0.63
SUP_003,MAT_025,0.17,0.62
SUP_011,MAT_025,0.17,0.62
SUP_004,MAT_025,0.17,0.69
SUP_001,MAT_026,0.16,0.69
SUP_009,MAT_026,0.12,0.6
SUP_007,MAT_026,0.14,0.62
SUP_001,MAT_027,0.15,0.62
SUP_009,MAT_027,0.17,0.64
SUP_007,MAT_027,0.16,0.55
SUP_001,MAT_028,0.1,0.66
SUP_009,MAT_028,0.12,0.64
SUP_007,MAT_028,0.15,0.61
SUP_001,MAT_029,0.13,0.65
SUP_009,MAT_029,0.1,0.56
SUP_007,MAT_029,0.19,0.67
SUP_001,MAT_030,0.14,0.58
SUP_009,MAT_030,0.18,0.58
SUP_007,MAT_030,0.19,0.62
SUP_002,MAT_031,0.17,0.6
SUP_007,MAT_031,0.12,0.68
SUP_010,MAT_031,0.15,0.66
SUP_002,MAT_032,0.18,0.7
SUP_007,MAT_032,0.14,0.69
SUP_010,MAT_032,0.13,0.67
SUP_002,MAT_033,0.18,0.59
SUP_007,MAT_033,0.2,0.62
SUP_010,MAT_033,0.13,0.63
SUP_002,MAT_034,0.19,0.7
SUP_007,MAT_034,0.19,0.61
SUP_010,MAT_034,0.14,0.65
SUP_002,MAT_035,0.2,0.57
SUP_007,MAT_035,0.19,0.62
SUP_010,MAT_035,0.17,0.61
SUP_003,MAT_036,0.15,0.7
SUP_006,MAT_036,0.19,0.68
SUP_008,MAT_036,0.16,0.68
SUP_003,MAT_037,0.16,0.59
SUP_006,MAT_037,0.17,0.62
SUP_008,MAT_037,0.12,0.59
SUP_003,MAT_038,0.13,0.61
SUP_006,MAT_038,0.16,0.67
SUP_008,MAT_038,0.19,0.64
SUP_003,MAT_039,0.12,0.65
SUP_006,MAT_039,0.19,0.65
SUP_008,MAT_039,0.2,0.59
SUP_003,MAT_040,0.18,0.58
SUP_006,MAT_040,0.12,0.64
SUP_008,MAT_040,0.2,0.65
