supplier_id,material_id,period_week,max_weekly_capacity_units
SUP_001,MAT_001,W01,8749
SUP_001,MAT_001,W02,10051
SUP_001,MAT_001,W03,9919
SUP_001,MAT_001,W04,10216
SUP_001,MAT_001,W05,10120
SUP_001,MAT_001,W06,9869
SUP_001,MAT_001,W07,10002
SUP_001,MAT_001,W08,10109
SUP_001,MAT_001,W09,9915
SUP_001,MAT_001,W10,9086
SUP_001,MAT_001,W11,9955
SUP_001,MAT_001,W12,9070
SUP_002,MAT_001,W01,8271
SUP_002,MAT_001,W02,8345
SUP_002,MAT_001,W03,8401
SUP_002,MAT_001,W04,8321
SUP_002,MAT_001,W05,8554
SUP_002,MAT_001,W06,8281
SUP_002,MAT_001,W07,8638
SUP_002,MAT_001,W08,8305
SUP_002,MAT_001,W09,7866
SUP_002,MAT_001,W10,8038
SUP_002,MAT_001,W11,8218
SUP_002,MAT_001,W12,8416
SUP_005,MAT_001,W01,6900
SUP_005,MAT_001,W02,6296
SUP_005,MAT_001,W03,6388
SUP_005,MAT_001,W04,6165
SUP_005,MAT_001,W05,6772
SUP_005,MAT_001,W06,6866
SUP_005,MAT_001,W07,6337
SUP_005,MAT_001,W08,6477
SUP_005,MAT_001,W09,6240
SUP_005,MAT_001,W10,6128
SUP_005,MAT_001,W11,6905
SUP_005,MAT_001,W12,6936
SUP_007,MAT_001,W01,10222
SUP_007,MAT_001,W02,9581
SUP_007,MAT_001,W03,9229
SUP_007,MAT_001,W04,10563
SUP_007,MAT_001,W05,9269
SUP_007,MAT_001,W06,10569
SUP_007,MAT_001,W07,10401
SUP_007,MAT_001,W08,10187
SUP_007,MAT_001,W09,10590
SUP_007,MAT_001,W10,10570
SUP_007,MAT_001,W11,10314
SUP_007,MAT_001,W12,9623
SUP_001,MAT_002,W01,10572
SUP_001,MAT_002,W02,11531
SUP_001,MAT_002,W03,11381
SUP_001,MAT_002,W04,11781
SUP_001,MAT_002,W05,11780
SUP_001,MAT_002,W06,11619
SUP_001,MAT_002,W07,12055
SUP_001,MAT_002,W08,12271
SUP_001,MAT_002,W09,10745
SUP_001,MAT_002,W10,10975
SUP_001,MAT_002,W11,10592
SUP_001,MAT_002,W12,12168
SUP_002,MAT_002,W01,11063
SUP_002,MAT_002,W02,9911
SUP_002,MAT_002,W03,9649
SUP_002,MAT_002,W04,10911
SUP_002,MAT_002,W05,11053
SUP_002,MAT_002,W06,10045
SUP_002,MAT_002,W07,10221
SUP_002,MAT_002,W08,9776
SUP_002,MAT_002,W09,11114
SUP_002,MAT_002,W10,10049
SUP_002,MAT_002,W11,10361
SUP_002,MAT_002,W12,9705
SUP_005,MAT_002,W01,13002
SUP_005,MAT_002,W02,13704
SUP_005,MAT_002,W03,14183
SUP_005,MAT_002,W04,14344
SUP_005,MAT_002,W05,14792
SUP_005,MAT_002,W06,13628
SUP_005,MAT_002,W07,14342
SUP_005,MAT_002,W08,13043
SUP_005,MAT_002,W09,13618
SUP_005,MAT_002,W10,12921
SUP_005,MAT_002,W11,13783
SUP_005,MAT_002,W12,13604
SUP_007,MAT_002,W01,8866
SUP_007,MAT_002,W02,9384
SUP_007,MAT_002,W03,9496
SUP_007,MAT_002,W04,10273
SUP_007,MAT_002,W05,10128
SUP_007,MAT_002,W06,8968
SUP_007,MAT_002,W07,9867
SUP_007,MAT_002,W08,9651
SUP_007,MAT_002,W09,10315
SUP_007,MAT_002,W10,9366
SUP_007,MAT_002,W11,9426
SUP_007,MAT_002,W12,9107
SUP_001,MAT_003,W01,7503
SUP_001,MAT_003,W02,7364
SUP_001,MAT_003,W03,6543
SUP_001,MAT_003,W04,6678
SUP_001,MAT_003,W05,7157
SUP_001,MAT_003,W06,7528
SUP_001,MAT_003,W07,6497
SUP_001,MAT_003,W08,6814
SUP_001,MAT_003,W09,7548
SUP_001,MAT_003,W10,7322
SUP_001,MAT_003,W11,6670
SUP_001,MAT_003,W12,7370
SUP_002,MAT_003,W01,8510
SUP_002,MAT_003,W02,8814
SUP_002,MAT_003,W03,8035
SUP_002,MAT_003,W04,8762
SUP_002,MAT_003,W05,8781
SUP_002,MAT_003,W06,8522
SUP_002,MAT_003,W07,8094
SUP_002,MAT_003,W08,9044
SUP_002,MAT_003,W09,9048
SUP_002,MAT_003,W10,8448
SUP_002,MAT_003,W11,8794
SUP_002,MAT_003,W12,7870
SUP_005,MAT_003,W01,5102
SUP_005,MAT_003,W02,5299
SUP_005,MAT_003,W03,5672
SUP_005,MAT_003,W04,5499
SUP_005,MAT_003,W05,5001
SUP_005,MAT_003,W06,5218
SUP_005,MAT_003,W07,5098
SUP_005,MAT_003,W08,5353
SUP_005,MAT_003,W09,5086
SUP_005,MAT_003,W10,5043
SUP_005,MAT_003,W11,5377
SUP_005,MAT_003,W12,5302
SUP_007,MAT_003,W01,6733
SUP_007,MAT_003,W02,6483
SUP_007,MAT_003,W03,6910
SUP_007,MAT_003,W04,7032
SUP_007,MAT_003,W05,7229
SUP_007,MAT_003,W06,6958
SUP_007,MAT_003,W07,6570
SUP_007,MAT_003,W08,6941
SUP_007,MAT_003,W09,6276
SUP_007,MAT_003,W10,7327
SUP_007,MAT_003,W11,7163
SUP_007,MAT_003,W12,6705
SUP_001,MAT_004,W01,6757
SUP_001,MAT_004,W02,7211
SUP_001,MAT_004,W03,6306
SUP_001,MAT_004,W04,6314
SUP_001,MAT_004,W05,6885
SUP_001,MAT_004,W06,6297
SUP_001,MAT_004,W07,6524
SUP_001,MAT_004,W08,6912
SUP_001,MAT_004,W09,6820
SUP_001,MAT_004,W10,6578
SUP_001,MAT_004,W11,7303
SUP_001,MAT_004,W12,6801
