supplier_id,material_id,certified
SUP_001,MAT_001,1
SUP_002,MAT_001,1
SUP_005,MAT_001,1
SUP_007,MAT_001,1
SUP_001,MAT_002,1
SUP_002,MAT_002,1
SUP_005,MAT_002,1
SUP_007,MAT_002,1
SUP_001,MAT_003,1
SUP_002,MAT_003,1
SUP_005,MAT_003,1
SUP_007,MAT_003,1
SUP_001,MAT_004,1
SUP_002,MAT_004,1
SUP_005,MAT_004,1
SUP_007,MAT_004,1
SUP_001,MAT_005,1
SUP_002,MAT_005,1
SUP_005,MAT_005,1
SUP_007,MAT_005,1
SUP_001,MAT_006,1
SUP_003,MAT_006,1
SUP_005,MAT_006,1
SUP_012,MAT_006,1
SUP_001,MAT_007,1
SUP_003,MAT_007,1
SUP_005,MAT_007,1
SUP_012,MAT_007,1
SUP_001,MAT_008,1
SUP_003,MAT_008,1
SUP_005,MAT_008,1
SUP_012,MAT_008,1
SUP_001,MAT_009,1
SUP_003,MAT_009,1
SUP_005,MAT_009,1
SUP_012,MAT_009,1
SUP_001,MAT_010,1
SUP_003,MAT_010,1
SUP_005,MAT_010,1
SUP_012,MAT_010,1
SUP_002,MAT_011,1
SUP_004,MAT_011,1
SUP_005,MAT_011,1
SUP_006,MAT_011,1
SUP_002,MAT_012,1
SUP_004,MAT_012,1
SUP_005,MAT_012,1
SUP_006,MAT_012,1
SUP_002,MAT_013,1
SUP_004,MAT_013,1
SUP_005,MAT_013,1
SUP_006,MAT_013,1
SUP_002,MAT_014,1
SUP_004,MAT_014,1
SUP_005,MAT_014,1
SUP_006,MAT_014,1
SUP_002,MAT_015,1
SUP_004,MAT_015,1
SUP_005,MAT_015,1
SUP_006,MAT_015,1
SUP_003,MAT_016,1
SUP_004,MAT_016,1
SUP_008,MAT_016,1
SUP_003,MAT_017,1
SUP_004,MAT_017,1
SUP_008,MAT_017,1
SUP_003,MAT_018,1
SUP_004,MAT_018,1
SUP_008,MAT_018,1
SUP_003,MAT_019,1
SUP_004,MAT_019,1
SUP_008,MAT_019,1
SUP_003,MAT_020,1
SUP_004,MAT_020,1
SUP_008,MAT_020,1
SUP_003,MAT_021,1
SUP_011,MAT_021,1
SUP_004,MAT_021,1
SUP_003,MAT_022,1
SUP_011,MAT_022,1
SUP_004,MAT_022,1
SUP_003,MAT_023,1
SUP_011,MAT_023,1
SUP_004,MAT_023,1
SUP_003,MAT_024,1
SUP_011,MAT_024,1
SUP_004,MAT_024,1
SUP_003,MAT_025,1
SUP_011,MAT_025,1
SUP_004,MAT_025,1
SUP_001,MAT_026,1
SUP_009,MAT_026,1
SUP_007,MAT_026,1
SUP_001,MAT_027,1
SUP_009,MAT_027,1
SUP_007,MAT_027,1
SUP_001,MAT_028,1
SUP_009,MAT_028,1
SUP_007,MAT_028,1
SUP_001,MAT_029,1
SUP_009,MAT_029,1
SUP_007,MAT_029,1
SUP_001,MAT_030,1
SUP_009,MAT_030,1
SUP_007,MAT_030,1
SUP_002,MAT_031,1
SUP_007,MAT_031,1
SUP_010,MAT_031,1
SUP_002,MAT_032,1
SUP_007,MAT_032,1
SUP_010,MAT_032,1
SUP_002,MAT_033,1
SUP_007,MAT_033,1
SUP_010,MAT_033,1
SUP_002,MAT_034,1
SUP_007,MAT_034,1
SUP_010,MAT_034,1
SUP_002,MAT_035,1
SUP_007,MAT_035,1
SUP_010,MAT_035,1
SUP_003,MAT_036,1
SUP_006,MAT_036,1
SUP_008,MAT_036,1
SUP_003,MAT_037,1
SUP_006,MAT_037,1
SUP_008,MAT_037,1
SUP_003,MAT_038,1
SUP_006,MAT_038,1
SUP_008,MAT_038,1
SUP_003,MAT_039,1
SUP_006,MAT_039,1
SUP_008,MAT_039,1
SUP_003,MAT_040,1
SUP_006,MAT_040,1
SUP_008,MAT_040,1
