supplier_id,material_id,unit_price_usd,moq_units,standard_lead_time_weeks
SUP_001,MAT_001,17.91,500,4
SUP_002,MAT_001,18.86,250,2
SUP_005,MAT_001,18.64,750,3
SUP_007,MAT_001,20.15,1200,5
SUP_001,MAT_002,8.77,500,6
SUP_002,MAT_002,8.92,1000,3
SUP_005,MAT_002,9.48,250,4
SUP_007,MAT_002,9.39,1200,5
SUP_001,MAT_003,12.58,500,3
SUP_002,MAT_003,13.05,250,3
SUP_005,MAT_003,13.6,500,4
SUP_007,MAT_003,13.69,250,5
SUP_001,MAT_004,11.45,750,3
SUP_002,MAT_004,11.89,750,2
SUP_005,MAT_004,12.54,1000,6
SUP_007,MAT_004,13.19,750,3
SUP_001,MAT_005,18.57,1200,5
SUP_002,MAT_005,19.84,1200,2
SUP_005,MAT_005,20.42,1000,2
SUP_007,MAT_005,21.74,500,4
SUP_001,MAT_006,36.46,1200,4
SUP_003,MAT_006,37.9,1200,4
SUP_005,MAT_006,38.93,1200,3
SUP_012,MAT_006,39.7,500,6
SUP_001,MAT_007,43.44,750,4
SUP_003,MAT_007,44.61,750,5
SUP_005,MAT_007,46.13,500,2
SUP_012,MAT_007,48.19,250,3
SUP_001,MAT_008,15.98,250,2
SUP_003,MAT_008,17.32,250,5
SUP_005,MAT_008,17.33,1000,5
SUP_012,MAT_008,18.51,250,5
SUP_001,MAT_009,27.55,1000,2
SUP_003,MAT_009,27.71,500,5
SUP_005,MAT_009,29.65,1000,6
SUP_012,MAT_009,30.49,1200,5
SUP_001,MAT_010,14.39,750,3
SUP_003,MAT_010,15.26,1000,3
SUP_005,MAT_010,15.42,750,4
SUP_012,MAT_010,15.89,500,5
SUP_002,MAT_011,10.91,1000,4
SUP_004,MAT_011,11.47,1000,5
SUP_005,MAT_011,12.28,1200,5
SUP_006,MAT_011,12.47,1000,5
SUP_002,MAT_012,18.72,500,5
SUP_004,MAT_012,18.6,750,5
SUP_005,MAT_012,20.39,1200,6
SUP_006,MAT_012,20.75,250,2
SUP_002,MAT_013,6.41,250,4
SUP_004,MAT_013,6.62,1000,4
SUP_005,MAT_013,6.86,250,5
SUP_006,MAT_013,7.43,750,3
SUP_002,MAT_014,10.82,250,3
SUP_004,MAT_014,10.94,500,5
SUP_005,MAT_014,11.43,750,4
SUP_006,MAT_014,12.23,250,3
SUP_002,MAT_015,21.33,750,6
SUP_004,MAT_015,22.76,500,2
SUP_005,MAT_015,23.46,750,6
SUP_006,MAT_015,24.82,250,4
SUP_003,MAT_016,212.57,750,2
SUP_004,MAT_016,222.17,750,5
SUP_008,MAT_016,239.85,750,6
SUP_003,MAT_017,113.98,1000,6
SUP_004,MAT_017,121.21,250,4
SUP_008,MAT_017,123.35,1200,5
SUP_003,MAT_018,230.16,1000,3
SUP_004,MAT_018,239.2,1200,4
SUP_008,MAT_018,247.6,500,5
SUP_003,MAT_019,307.13,1000,5
SUP_004,MAT_019,310.88,500,4
SUP_008,MAT_019,329.82,750,5
SUP_003,MAT_020,44.87,1000,4
SUP_004,MAT_020,47.81,750,2
SUP_008,MAT_020,49.61,500,3
SUP_003,MAT_021,116.17,1200,6
SUP_011,MAT_021,118.13,500,4
SUP_004,MAT_021,125.4,750,2
SUP_003,MAT_022,103.66,500,5
SUP_011,MAT_022,105.28,1000,5
SUP_004,MAT_022,109.34,1000,2
SUP_003,MAT_023,57.2,250,3
SUP_011,MAT_023,60.49,500,2
SUP_004,MAT_023,64.01,1200,3
SUP_003,MAT_024,37.17,750,6
SUP_011,MAT_024,38.02,1200,2
SUP_004,MAT_024,38.61,250,3
SUP_003,MAT_025,131.11,1000,5
SUP_011,MAT_025,135.66,750,4
SUP_004,MAT_025,146.72,750,6
SUP_001,MAT_026,185.93,1200,3
SUP_009,MAT_026,198.4,250,2
SUP_007,MAT_026,205.28,1200,4
SUP_001,MAT_027,95.5,1000,4
SUP_009,MAT_027,98.17,250,5
SUP_007,MAT_027,101.87,500,6
SUP_001,MAT_028,99.77,750,6
SUP_009,MAT_028,102.06,1000,4
SUP_007,MAT_028,107.16,1000,2
SUP_001,MAT_029,371.44,250,3
SUP_009,MAT_029,386.32,1000,6
SUP_007,MAT_029,401.13,250,5
SUP_001,MAT_030,276.63,1200,5
SUP_009,MAT_030,294.96,1000,5
SUP_007,MAT_030,310.21,750,5
SUP_002,MAT_031,14.13,1200,3
SUP_007,MAT_031,14.72,1000,2
SUP_010,MAT_031,15.41,250,3
SUP_002,MAT_032,13.27,750,5
SUP_007,MAT_032,13.61,1200,3
SUP_010,MAT_032,14.38,500,2
SUP_002,MAT_033,10.01,1200,4
SUP_007,MAT_033,10.35,1200,6
SUP_010,MAT_033,10.68,1200,5
SUP_002,MAT_034,17.36,1000,4
SUP_007,MAT_034,17.75,1000,3
SUP_010,MAT_034,18.55,1000,5
SUP_002,MAT_035,7.59,500,5
SUP_007,MAT_035,7.97,750,2
SUP_010,MAT_035,8.07,1000,2
SUP_003,MAT_036,132.92,500,2
SUP_006,MAT_036,135.8,1000,2
SUP_008,MAT_036,145.57,1000,4
SUP_003,MAT_037,180.77,1200,2
SUP_006,MAT_037,190.52,750,3
SUP_008,MAT_037,191.44,250,5
SUP_003,MAT_038,139.23,750,2
SUP_006,MAT_038,146.25,1200,5
SUP_008,MAT_038,152.45,250,6
SUP_003,MAT_039,183.62,1200,3
SUP_006,MAT_039,193.95,250,5
SUP_008,MAT_039,198.21,1000,4
SUP_003,MAT_040,140.07,750,5
SUP_006,MAT_040,140.83,1000,2
SUP_008,MAT_040,148.12,750,2
